,0
ACC-0.005,0.04208241275695021
pgd-0.005,0.0386807764012792
After_Datapoison_Defense_ACC,0.03435711343183108
PoisonSR,0.05691771146779317
NoisyACC-0.005,0.03859410846449221
trigger,0.05640247259184863
trigger_std,0.04300179047722785
backdoor_label,0.05722685479335989
nifgsm-0.005,0.042316604716120816
trigger_size,0.03589505066024255
afterPoisonACC,0.040605601853753455
ACC-0.01,0.0422132415622628
vnifgsm-0.005,0.04278627664114782
mifgsm-0.005,0.04296378591883494
BlurredACC-0.01,0.03894520563608191
sinifgsm-0.005,0.04379857511770158
vmifgsm-0.005,0.043104680307575916
difgsm-0.005,0.04296378591883494
NoisyACC-0.01,0.03913783900626941
BlurredACC-0.005,0.0320402702223818
CompressedACC-0.005,0.03269424950286067
fgsm-0.005,0.0410322443304486
CompressedACC-0.01,0.03699151171476594
tifgsm-0.005,0.03524783650593459
